bet_name,AKB,B3,BF,BY,CE,DP,EE,FB,FR,G5,KN,LD,LS,MA,N4,OE,PP,QN,S6,SI,SK,SX,UN,VC,VT,WA,WH,timestamp
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:02:51.730743+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:02:51.730743+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:02:51.730743+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:02:51.730743+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:02:51.730743+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:02:51.730743+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.54,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:04:04.982139+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:04:04.982139+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:04:04.982139+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:04:04.982139+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:04:04.982139+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:04:04.982139+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:04:04.982139+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:04:04.982139+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.54,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:05:18.164945+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:05:18.164945+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:05:18.164945+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:05:18.164945+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:05:18.164945+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:05:18.164945+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:05:18.164945+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:05:18.164945+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.54,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:06:32.907356+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:06:32.907356+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:06:32.907356+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:06:32.907356+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:06:32.907356+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:06:32.907356+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:06:32.907356+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:06:32.907356+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.54,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:07:46.611950+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:07:46.611950+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:07:46.611950+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:07:46.611950+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:07:46.611950+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:07:46.611950+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:07:46.611950+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:07:46.611950+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.54,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:09:00.224735+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:09:00.224735+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:09:00.224735+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:09:00.224735+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:09:00.224735+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:09:00.224735+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:09:00.224735+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:09:00.224735+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.54,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:28:19.307310+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:28:19.307310+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:28:19.307310+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:28:19.307310+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:28:19.307310+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:28:19.307310+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:28:19.307310+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:28:19.307310+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.54,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:33:33.143846+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:33:33.143846+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:33:33.143846+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:33:33.143846+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:33:33.143846+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:33:33.143846+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:33:33.143846+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:33:33.143846+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.55,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:38:48.091906+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:38:48.091906+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:38:48.091906+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:38:48.091906+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:38:48.091906+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:38:48.091906+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:38:48.091906+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:38:48.091906+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.55,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:44:01.358619+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:44:01.358619+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:44:01.358619+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:44:01.358619+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:44:01.358619+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:44:01.358619+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:44:01.358619+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:44:01.358619+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.55,0.0,1.53,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:49:14.176948+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.5,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:49:14.176948+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:49:14.176948+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:49:14.176948+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:49:14.176948+00:00
Jill Stein,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:49:14.176948+00:00
Cornel West,0.0,0.0,980.0,0.0,1001.0,0.0,0.0,0.0,1001.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:49:14.176948+00:00
Chase Oliver,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:49:14.176948+00:00
Donald Trump,1.57,1.5,1.55,1.5,1.5,1.5,1.53,1.5,1.53,1.5,1.5,1.5,1.5,1.55,0.0,1.53,1.5,1.5,1.53,1.5,1.5,1.5,1.5,1.5,1.45,1.5,1.53,2024-10-30T19:54:30.057679+00:00
Kamala Harris,2.8,2.7,2.74,2.63,2.62,2.7,2.63,2.63,2.63,2.63,2.7,2.62,2.7,2.74,0.0,2.5,2.63,2.63,2.62,2.63,2.63,2.63,2.7,2.62,2.65,2.7,2.62,2024-10-30T19:54:30.057679+00:00
J D Vance,251.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,126.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:54:30.057679+00:00
Tim Walz,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,251.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:54:30.057679+00:00
Claudia De La Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30T19:54:30.057679+00:00
